A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
10000,500.0,g,t,6,t,t,5.0,v,w,g,u,1.04,42.08,b,1
0,168.0,g,t,5,t,t,5.04,v,aa,g,u,14.79,29.25,b,1
0,0.0,g,f,8,t,t,7.96,h,x,g,u,9.79,42.0,b,1
5000,0.0,g,t,15,t,t,7.585,bb,i,g,u,7.585,49.5,b,1
4000,0.0,g,t,0,f,t,5.0,v,e,g,u,5.125,36.75,a,1
560,0.0,g,t,5,t,t,0.415,v,q,g,u,10.75,22.58,a,1
35,434.0,g,t,11,t,t,2.0,v,w,g,u,1.5,27.83,b,1
713,583.0,g,t,12,t,t,1.835,h,cc,g,u,1.585,27.25,b,1
551,300.0,g,t,2,,,,h,x,g,u,,23.0,a,1
500,260.0,g,f,2,t,t,0.25,v,cc,p,y,0.585,27.75,b,1
300,30.0,g,t,11,t,t,14.415,ff,ff,g,u,9.415,54.58,b,1
221,0.0,g,t,12,t,t,4.5,v,c,g,u,9.17,34.17,b,1
2283,0.0,g,f,11,t,t,5.335,h,c,g,u,15.0,28.92,b,1
100,240.0,g,f,1,t,t,0.75,h,w,g,u,1.415,29.67,b,1
0,70.0,g,t,6,t,t,8.625,v,w,g,u,13.915,39.58,b,1
15,0.0,g,f,40,,,,v,c,p,y,,56.42,b,1
284,0.0,g,t,11,t,t,2.625,h,c,g,u,6.75,54.33,b,1
1236,455.0,g,t,23,t,t,0.125,h,q,p,y,2.04,41.0,a,1
300,311.0,g,f,3,t,t,6.04,h,cc,g,u,4.46,31.92,b,1
0,216.0,g,f,0,f,f,3.5,bb,i,g,u,1.54,41.5,b,1
0,100.0,g,f,0,f,f,0.165,v,c,g,u,0.665,23.92,b,1
0,491.0,g,t,0,f,t,0.875,h,c,g,u,0.5,25.75,a,1
0,280.0,g,t,0,f,t,1.75,v,q,g,u,1.0,26.0,b,1
5800,400.0,g,t,0,f,t,0.04,v,w,g,u,2.04,37.42,b,1
200,239.0,g,t,0,f,t,0.0,v,w,g,u,2.5,34.92,b,1
0,0.0,g,t,0,f,t,7.415,h,cc,g,u,3.0,34.25,b,1
300,160.0,g,t,0,,,,v,w,p,y,,23.33,b,1
0,0.0,g,f,0,f,t,0.085,v,cc,g,u,0.0,23.17,b,1
0,320.0,g,t,0,f,t,5.0,h,i,g,u,0.5,44.33,b,1
0,711.0,s,t,0,f,f,5.75,h,x,g,u,4.5,35.17,b,1
0,80.0,g,f,11,t,t,6.0,h,q,g,u,3.0,43.25,b,1
0,200.0,g,t,4,,,,v,m,g,u,,56.75,b,1
730,250.0,g,f,9,t,t,3.0,v,d,g,u,16.165,31.67,b,1
400,80.0,g,t,2,t,t,1.5,v,q,p,y,0.79,23.42,a,1
0,0.0,g,f,1,t,t,1.585,v,q,g,u,0.835,20.42,a,1
0,120.0,g,t,1,t,t,4.29,v,cc,g,u,4.25,26.67,b,1
50000,520.0,g,t,1,t,t,1.54,v,cc,g,u,1.54,34.17,b,1
456,0.0,g,f,11,t,t,2.0,v,c,g,u,1.0,36.0,a,1
15108,260.0,g,f,3,t,t,0.25,v,m,g,u,0.375,25.5,b,1
2954,80.0,g,f,7,t,t,1.46,h,w,g,u,6.5,19.42,b,1
500,515.0,g,t,1,,,,h,x,g,u,,35.17,b,1
0,420.0,s,t,0,f,t,1.585,bb,e,g,u,7.5,32.33,b,0
0,,g,t,0,f,t,12.5,bb,d,g,u,4.0,34.83,b,0
0,980.0,g,t,0,f,t,13.5,v,cc,g,u,5.0,38.58,a,0
0,400.0,s,f,0,f,t,10.75,v,m,g,u,0.5,44.25,b,0
2,160.0,g,f,0,f,f,1.625,v,c,p,y,7.0,44.83,b,0
0,160.0,g,f,1,t,t,0.375,v,q,g,u,5.29,20.67,b,0
0,443.0,g,t,0,,,,v,aa,g,u,,34.08,b,0
0,160.0,g,t,0,f,t,0.585,v,aa,p,y,0.585,19.17,a,0
20,180.0,g,f,1,t,t,2.5,v,k,p,y,1.165,21.67,b,0
0,140.0,g,f,0,f,t,0.25,v,c,g,u,9.75,21.5,b,0
0,94.0,g,f,1,,,,ff,ff,g,u,,49.58,b,0
0,368.0,s,f,0,f,t,2.0,v,m,g,u,1.5,27.67,a,0
0,288.0,s,f,0,f,t,0.25,v,m,g,u,0.5,39.83,b,0
0,300.0,g,t,0,f,t,3.0,v,d,g,u,3.5,,a,0
0,200.0,g,t,0,f,t,0.455,v,aa,g,u,0.625,27.25,b,0
0,280.0,s,t,0,f,t,5.0,bb,c,g,u,4.0,37.17,b,0
0,928.0,s,t,0,f,t,0.875,v,d,g,u,0.375,,b,0
0,188.0,g,f,0,f,t,4.0,v,aa,p,y,2.21,25.67,b,0
0,240.0,g,t,0,f,t,1.0,v,aa,g,u,4.5,34.0,b,0
27,100.0,g,t,0,f,t,0.0,j,j,g,u,1.5,49.0,a,0
0,112.0,g,f,0,f,t,5.0,h,c,p,y,12.75,62.5,b,0
0,120.0,g,f,0,f,t,0.5,v,c,g,u,15.5,31.42,b,0
0,0.0,g,f,0,f,t,8.5,v,aa,p,y,5.0,,b,0
100,200.0,g,t,0,f,t,9.46,h,c,p,y,1.375,52.33,b,0
225,0.0,g,t,0,f,t,1.5,v,c,p,y,1.5,28.75,b,0
0,171.0,g,t,0,f,t,0.5,bb,i,g,u,3.54,28.58,a,0
1,180.0,g,f,0,f,t,0.125,v,aa,p,y,0.625,23.0,b,0
0,320.0,s,t,0,f,t,0.835,bb,c,g,u,0.5,,b,0
0,268.0,g,t,0,f,t,3.0,v,q,p,y,11.0,22.5,a,0
500,167.0,g,t,2,t,t,1.0,v,q,g,u,1.0,28.5,a,0
400,164.0,g,t,0,f,t,0.25,bb,c,p,y,1.75,37.5,b,0
0,80.0,g,f,0,,,,v,c,p,y,,35.25,b,0
38,0.0,g,f,2,t,t,0.375,v,q,g,u,5.0,18.67,b,0
5,120.0,g,t,2,t,t,2.25,v,k,g,u,12.0,25.0,b,0
0,75.0,g,t,2,t,t,5.75,h,i,p,y,4.0,27.83,b,0
130,152.0,g,f,20,t,t,0.0,z,e,g,u,15.5,54.83,b,0
0,280.0,s,f,0,f,t,0.5,v,k,g,u,1.165,28.75,b,0
0,120.0,g,f,0,f,t,4.5,v,aa,p,y,11.0,25.0,a,0
0,176.0,g,t,0,f,t,10.0,h,x,p,y,2.25,40.92,b,0
5,140.0,g,t,5,t,t,0.795,v,c,g,u,0.75,19.75,a,0
0,329.0,g,t,3,t,t,3.5,v,w,g,u,3.5,29.17,b,0
147,180.0,g,f,3,t,t,0.5,ff,ff,p,y,1.04,24.5,a,0
0,260.0,g,t,0,f,t,0.875,v,w,g,u,12.5,24.58,b,0
0,212.0,g,t,3,,,,bb,k,g,u,,33.75,a,0
210,140.0,g,t,3,t,t,1.375,h,c,p,y,1.25,20.67,b,0
0,200.0,g,f,2,t,t,1.29,v,q,g,u,1.125,25.42,a,0
5,300.0,g,t,7,t,t,11.5,h,q,g,u,7.0,37.75,b,0
11202,0.0,g,f,15,,,,v,k,g,u,,52.5,b,1
1332,360.0,g,t,6,t,t,14.0,v,m,g,u,7.04,57.83,b,1
50,80.0,g,t,1,,,,h,cc,g,u,,20.75,a,1
300,200.0,g,f,1,t,t,0.04,v,q,g,u,6.21,39.92,b,1
258,140.0,g,t,67,t,t,1.21,v,cc,g,u,12.5,25.67,b,1
567,120.0,g,t,12,t,t,1.5,v,aa,g,u,12.5,24.75,a,1
0,0.0,g,t,3,t,t,7.375,v,q,g,u,6.665,44.17,a,1
0,120.0,g,t,5,t,t,8.5,v,q,g,u,9.0,23.5,a,1
1000,0.0,g,t,6,t,t,7.5,h,x,g,u,5.0,34.92,b,1
2510,410.0,g,t,12,t,t,2.5,bb,m,g,u,2.5,47.67,b,1
809,100.0,g,t,7,,,,v,q,g,u,,22.75,b,1
610,274.0,g,f,2,,,,bb,i,g,u,,34.42,b,1
0,280.0,s,f,0,f,t,0.835,v,w,g,u,3.5,28.42,a,1
0,0.0,g,t,1,t,t,13.0,z,e,g,u,5.5,67.75,b,1
150,100.0,g,f,1,t,t,2.25,v,c,g,u,1.835,20.42,b,1
51100,375.0,g,f,6,t,t,6.5,bb,e,g,u,8.0,47.42,a,1
367,0.0,g,f,6,t,t,2.5,bb,c,g,u,5.0,36.25,b,1
1000,408.0,g,t,12,t,t,5.5,h,q,g,u,5.5,32.67,b,1
0,350.0,g,t,0,f,t,6.0,h,q,g,u,6.5,48.58,b,1
1000,200.0,g,f,3,t,t,0.5,v,aa,p,y,0.54,39.92,b,1
0,204.0,g,f,6,t,t,4.25,v,m,g,u,2.75,33.58,b,1
600,40.0,g,t,6,t,t,1.625,v,w,g,u,9.5,18.83,a,1
5000,0.0,g,f,2,t,t,5.0,h,q,g,u,13.5,26.92,a,1
0,181.0,g,t,9,t,t,0.625,h,cc,g,u,3.75,31.25,a,1
247,0.0,g,f,15,t,t,0.0,ff,j,g,u,16.0,56.5,a,1
375,100.0,g,f,8,,,,h,cc,p,y,,43.0,b,1
278,80.0,g,f,1,t,t,2.0,v,w,g,u,11.0,22.33,b,1
827,399.0,g,f,9,t,t,5.085,h,cc,g,u,1.665,27.25,b,1
2072,160.0,g,f,6,t,t,2.75,h,cc,g,u,2.5,32.83,b,1
582,0.0,g,t,3,t,t,2.375,v,q,g,u,1.5,23.25,b,1
2300,0.0,g,f,14,t,t,8.0,h,q,p,y,7.54,40.33,a,1
3065,0.0,g,t,7,t,t,4.0,bb,c,g,u,6.5,30.5,a,1
2200,0.0,g,f,14,t,t,5.5,v,c,g,u,15.0,52.83,a,1
6,440.0,g,t,11,t,t,0.415,h,cc,g,u,0.46,46.67,a,1
1602,0.0,g,f,14,t,t,4.0,v,q,g,u,10.0,58.33,a,1
0,93.0,g,t,12,t,t,4.25,h,m,g,u,6.5,37.33,b,1
2184,60.0,g,t,11,t,t,1.085,v,c,g,u,2.5,23.08,b,1
0,0.0,g,t,3,t,t,5.5,h,cc,g,u,1.5,32.75,b,1
0,0.0,g,t,11,t,t,0.0,j,j,p,y,11.5,21.67,a,1
0,70.0,g,f,1,t,t,2.54,h,x,p,y,3.04,28.5,a,1
3376,0.0,g,f,14,t,t,0.0,z,e,g,u,15.0,68.67,a,1
0,181.0,g,t,2,t,t,4.165,h,k,g,u,2.0,28.0,b,1
2000,280.0,g,t,1,t,t,0.04,bb,m,p,y,0.08,34.08,b,1
7544,140.0,g,f,4,t,t,1.0,h,x,g,u,2.0,27.67,b,1
15,0.0,g,t,2,t,t,1.75,v,m,g,u,2.0,44.0,b,1
20,395.0,g,t,1,t,t,1.665,v,x,g,u,1.71,25.08,b,1
0,393.0,g,t,0,f,t,0.04,h,e,p,y,1.75,32.0,b,1
10561,21.0,g,t,0,f,t,11.0,v,q,g,u,16.5,60.58,a,1
837,29.0,g,f,0,f,t,1.75,h,q,g,u,10.0,40.83,a,1
400,60.0,g,t,0,f,t,1.0,v,q,g,u,9.5,19.33,b,1
11177,440.0,g,f,0,,,,v,cc,g,u,,32.33,a,1
639,102.0,g,t,0,f,t,9.0,h,q,g,u,3.25,36.67,b,1
0,431.0,g,t,0,f,f,1.5,v,d,p,y,1.125,37.5,b,1
0,370.0,g,t,0,f,t,0.25,v,aa,p,y,2.54,25.08,a,1
0,0.0,g,f,0,f,t,15.0,bb,c,g,u,0.0,41.33,b,1
2028,24.0,g,t,0,f,t,8.0,h,k,g,u,12.5,56.0,b,1
0,0.0,g,t,0,f,t,8.5,h,k,g,u,13.585,49.83,a,1
0,100.0,g,f,0,f,t,1.335,h,q,g,u,10.5,22.67,b,1
1065,260.0,g,t,0,f,t,0.375,v,w,p,y,1.5,27.0,b,1
0,20.0,s,t,0,,,,v,aa,g,u,,25.0,b,1
150,160.0,g,f,0,f,t,1.415,v,aa,g,u,8.665,26.08,a,1
540,60.0,g,f,4,t,t,1.21,v,q,g,u,9.25,18.42,a,1
158,60.0,g,f,14,t,t,1.96,v,aa,g,u,8.17,20.17,b,1
15000,0.0,g,f,20,t,t,15.0,bb,c,g,u,0.29,47.67,b,1
0,80.0,s,f,4,t,t,0.5,bb,i,g,u,2.335,21.25,a,1
6,100.0,g,f,3,t,t,0.165,v,q,g,u,3.0,20.67,a,1
3000,0.0,g,f,7,t,t,5.5,v,c,g,u,19.5,57.08,a,1
3257,129.0,g,f,7,t,t,2.585,v,q,g,u,5.665,22.42,a,1
1655,181.0,g,f,9,t,t,12.5,h,c,g,u,8.5,48.75,b,1
500,0.0,g,f,1,t,t,3.5,bb,aa,g,u,6.5,40.0,b,1
3065,0.0,g,f,7,,,,v,c,g,u,,40.58,b,1
1430,300.0,g,t,5,t,t,2.5,v,c,g,u,1.04,28.67,a,1
0,0.0,g,f,2,t,t,1.625,h,q,g,u,4.625,33.08,a,1
0,0.0,g,t,0,f,t,3.0,v,c,g,u,10.5,21.33,b,1
0,400.0,g,f,0,f,t,5.125,h,i,g,u,0.205,42.0,b,1
600,510.0,g,f,0,f,t,2.5,v,x,g,u,0.96,41.75,b,1
0,80.0,g,f,6,t,t,3.085,v,w,p,y,1.585,22.67,b,1
0,195.0,g,t,7,t,t,8.5,bb,i,p,y,4.04,34.5,b,1
7,144.0,g,t,8,t,t,1.5,bb,c,p,y,5.04,28.25,b,1
0,380.0,g,t,3,,,,v,x,p,y,,33.17,b,1
790,0.0,g,f,12,t,t,15.5,h,w,g,u,7.625,48.17,b,1
560,370.0,g,t,3,t,t,2.0,v,aa,p,y,2.04,27.58,b,1
396,60.0,g,f,9,t,t,0.04,v,x,g,u,10.04,22.58,b,1
678,0.0,g,f,1,t,t,1.25,h,q,g,u,0.5,24.08,a,1
300,0.0,g,t,0,f,t,2.25,bb,i,g,u,1.0,41.33,a,1
600,,g,f,6,t,t,2.25,v,c,g,u,2.75,24.83,b,1
0,49.0,g,t,2,t,t,0.71,v,q,g,u,10.25,20.75,a,1
1187,50.0,g,f,1,t,t,0.085,v,w,p,y,2.125,36.33,b,1
6590,0.0,g,f,8,t,t,14.0,h,q,g,u,12.0,35.42,a,1
0,,p,f,0,f,f,0.0,,,,,0.0,71.58,a,1
168,381.0,g,f,6,t,t,5.665,h,q,g,u,9.335,28.67,b,1
1270,150.0,g,f,7,t,t,4.5,v,k,g,u,2.5,35.17,b,1
1210,117.0,g,f,16,t,t,6.5,bb,c,g,u,4.25,39.5,b,1
0,399.0,g,t,14,t,t,10.0,h,cc,g,u,5.875,39.33,b,1
0,100.0,s,t,0,f,t,5.5,v,d,p,y,6.625,24.33,b,1
1000,0.0,g,t,15,t,t,18.0,ff,ff,g,u,14.5,60.08,b,1
742,56.0,g,f,9,t,t,3.5,v,i,g,u,11.5,23.08,b,1
0,211.0,g,f,1,t,t,5.25,v,cc,p,y,2.71,26.67,b,1
0,230.0,s,f,0,f,t,3.5,v,aa,g,u,3.5,48.17,b,1
0,320.0,g,f,8,t,t,7.0,h,cc,g,u,4.04,41.17,b,1
8851,0.0,g,f,5,t,t,5.0,ff,ff,g,u,11.5,55.92,b,1
0,0.0,g,f,5,t,t,8.665,v,e,g,u,9.625,53.92,b,1
500,80.0,g,t,4,t,t,1.0,v,c,p,y,9.25,18.92,a,1
0,156.0,g,t,3,t,t,2.29,v,aa,g,u,12.54,50.08,a,1
0,22.0,g,t,7,,,,z,e,g,u,,65.42,b,1
0,0.0,g,t,0,f,t,1.375,v,aa,g,u,9.0,17.58,a,1
0,100.0,g,f,0,f,t,0.085,v,aa,g,u,9.54,18.83,a,1
0,228.0,g,t,0,f,t,0.125,v,q,g,u,5.5,37.75,a,1
0,160.0,g,t,0,,,,bb,c,g,u,,23.25,b,1
0,80.0,g,f,0,,,,v,k,g,u,,18.08,b,1
0,164.0,g,f,0,f,f,2.46,v,x,p,y,8.46,22.5,a,1
0,80.0,g,t,2,,,,v,q,g,u,,19.67,b,1
0,100.0,g,f,0,f,t,0.665,v,cc,g,u,11.0,22.08,b,1
7059,0.0,g,f,7,t,t,0.625,v,cc,g,u,3.5,25.17,b,1
1704,519.0,g,t,2,t,t,13.875,v,x,g,u,3.0,47.42,a,1
857,253.0,g,t,4,t,t,4.5,h,x,g,u,1.75,33.5,b,1
500,487.0,g,t,0,f,t,5.75,v,w,g,u,13.75,27.67,b,1
6700,0.0,g,f,13,t,t,10.0,bb,i,g,u,21.0,58.42,a,1
2503,220.0,g,f,5,t,t,2.085,v,q,g,u,1.835,20.67,a,1
0,0.0,g,t,0,f,t,0.0,bb,i,g,u,0.25,26.17,b,1
9800,80.0,g,f,1,t,t,1.415,v,aa,g,u,7.5,21.33,b,1
0,0.0,s,f,0,,,,v,q,g,u,,42.83,b,1
196,520.0,g,f,6,t,t,2.5,v,x,g,u,10.125,38.17,b,1
0,40.0,s,f,0,f,t,2.5,v,c,p,y,10.0,20.5,b,1
14,120.0,g,f,3,t,t,1.75,v,w,g,u,25.085,48.25,b,1
0,70.0,g,t,0,f,t,11.0,v,w,g,u,5.0,28.33,b,1
26726,,g,f,5,,,,v,q,g,u,,18.75,a,1
300,120.0,g,f,2,t,t,1.5,v,i,g,u,2.0,18.5,b,1
18027,180.0,g,t,1,t,t,2.04,h,c,p,y,3.04,33.17,b,1
2000,88.0,g,t,1,t,t,14.0,h,cc,g,u,8.5,45.0,b,1
99,80.0,g,f,11,t,t,0.29,h,q,g,u,0.21,19.67,a,1
444,73.0,g,f,2,t,t,4.75,bb,c,g,u,12.75,24.5,,1
0,121.0,g,f,6,t,t,0.29,v,x,g,u,11.0,21.83,b,1
1200,0.0,g,f,11,t,t,20.0,z,e,g,u,21.5,40.25,b,1
0,470.0,g,t,6,t,t,5.0,h,q,g,u,5.0,41.42,b,1
3000,0.0,g,f,11,t,t,1.0,h,x,g,u,11.0,17.83,a,1
0,100.0,g,f,1,,,,h,x,g,u,,23.17,b,1
2010,380.0,g,f,0,f,f,0.25,v,k,g,u,0.625,,b,0
13,320.0,g,f,0,f,f,1.085,h,c,g,u,10.25,18.17,b,0
0,136.0,g,t,0,,,,v,c,g,u,,20.0,b,0
0,144.0,g,f,0,f,f,0.5,v,d,g,u,0.0,20.0,b,0
1000,200.0,g,f,0,f,f,0.04,v,i,g,u,9.54,20.75,a,0
0,132.0,g,f,0,,,,v,c,p,y,,24.5,a,0
0,292.0,g,t,0,f,f,5.75,h,d,g,u,2.335,32.75,b,0
0,0.0,g,f,0,f,f,0.0,ff,ff,p,y,0.0,52.17,a,0
120,0.0,g,f,0,,,,o,i,g,u,,48.17,a,0
32,154.0,g,t,0,f,f,0.0,h,x,p,y,10.5,20.42,a,0
0,145.0,g,f,0,f,f,0.0,ff,ff,g,u,0.585,50.75,b,0
722,140.0,g,f,0,f,f,0.04,v,c,p,y,0.085,17.08,b,0
0,100.0,g,f,0,f,f,0.0,dd,e,p,y,1.21,18.33,b,0
0,272.0,g,f,0,f,f,1.25,v,d,g,u,6.0,32.0,a,0
0,260.0,g,t,0,f,t,0.125,v,q,g,u,1.54,59.67,b,1
40,200.0,g,f,0,f,f,0.21,n,q,g,u,0.165,18.0,b,1
0,,p,f,0,f,f,0.0,,,,,0.0,37.58,b,1
0,280.0,g,t,0,f,f,1.25,v,c,g,u,2.5,32.33,b,0
0,140.0,g,f,0,f,f,0.04,v,m,p,y,6.75,18.08,b,0
0,160.0,g,f,0,f,f,0.125,v,k,p,y,10.125,38.25,b,0
0,340.0,s,t,0,f,f,2.25,h,cc,g,u,2.5,30.67,b,0
0,120.0,g,f,0,,,,v,d,g,u,,18.58,b,0
484,80.0,g,f,0,f,f,0.29,h,i,g,u,5.415,19.17,a,0
0,340.0,g,f,0,f,f,0.165,h,q,p,y,10.0,18.17,a,0
0,,g,f,0,f,f,0.0,ff,ff,p,y,13.5,24.58,b,0
0,200.0,s,f,0,f,t,0.085,v,m,g,u,0.835,16.25,b,0
204,280.0,g,f,0,f,f,0.25,h,c,p,y,0.875,21.17,b,0
1,240.0,g,f,0,f,f,0.125,h,cc,p,y,0.585,23.92,b,0
0,80.0,s,f,0,f,f,0.25,v,c,g,u,4.46,17.67,b,0
98,108.0,g,f,1,t,f,0.25,v,q,g,u,1.25,16.5,a,0
5552,0.0,g,f,2,,,,v,c,g,u,,23.25,b,0
1,120.0,g,f,1,,,,h,w,g,u,,17.58,b,0
105,200.0,g,t,2,t,f,0.0,ff,ff,g,u,1.5,,a,0
2803,340.0,g,f,1,t,f,0.29,v,w,g,u,0.58,29.5,b,0
1,200.0,g,f,1,t,f,0.165,v,c,p,y,0.415,18.83,b,0
0,160.0,g,f,0,f,f,0.0,j,j,p,y,1.75,21.75,a,0
0,320.0,s,t,0,f,f,0.5,v,m,g,u,0.75,23.0,b,0
1,120.0,g,f,1,t,f,1.0,v,w,g,u,10.0,18.25,a,0
444,272.0,g,f,1,t,f,0.165,v,w,g,u,0.54,25.42,b,0
1,220.0,g,f,2,t,f,0.125,v,w,g,u,2.415,35.75,b,0
126,160.0,g,f,1,,,,ff,ff,g,u,,16.08,a,0
4,200.0,g,t,2,t,f,3.04,ff,ff,g,u,3.125,31.92,a,0
6,70.0,g,f,1,,,,ff,ff,g,u,,69.17,b,0
0,720.0,g,t,2,t,f,1.75,v,aa,g,u,2.5,32.92,b,0
21,80.0,g,f,1,,,,v,aa,g,u,,16.33,b,0
173,180.0,g,t,2,,,,v,c,g,u,,22.17,b,0
10,0.0,g,f,1,t,f,6.5,ff,ff,g,u,2.0,57.58,a,0
0,280.0,s,t,0,f,f,0.25,v,d,g,u,0.165,18.25,b,0
0,280.0,s,t,0,f,f,0.5,v,c,g,u,1.0,23.42,b,0
0,120.0,g,f,0,f,f,0.085,v,q,g,u,2.875,15.92,a,0
1,280.0,g,f,0,f,f,1.5,h,q,g,u,13.665,24.75,a,0
0,0.0,g,t,0,f,t,0.0,ff,ff,p,y,26.335,48.75,b,0
25,160.0,g,f,0,f,f,4.5,ff,ff,g,u,2.75,23.5,b,0
0,80.0,g,f,0,f,f,0.415,ff,ff,g,u,10.29,18.58,b,0
0,140.0,s,t,0,,,,h,k,g,u,,27.75,b,0
20,160.0,g,f,0,,,,j,j,p,y,,31.75,a,0
6,360.0,g,t,0,f,f,1.0,v,w,g,u,4.5,24.83,a,0
6,112.0,g,t,0,f,f,2.335,v,c,p,y,1.75,19.0,b,0
1,200.0,g,f,0,,,,v,aa,g,u,,16.33,a,0
42,80.0,g,f,0,,,,v,d,g,u,,18.58,a,0
0,60.0,g,f,0,f,f,0.25,v,aa,p,y,0.0,16.25,b,0
0,320.0,s,t,0,,,,v,m,g,u,,23.0,b,0
204,280.0,g,f,0,f,f,0.25,h,c,p,y,0.25,21.17,b,0
100000,450.0,p,t,0,f,f,0.0,o,ff,gg,l,22.0,17.5,b,1
1,500.0,s,t,0,f,f,0.0,bb,m,p,y,0.0,19.17,b,1
113,232.0,g,t,0,f,f,1.5,v,c,p,y,0.125,36.75,b,1
8,150.0,g,f,0,f,f,1.5,v,w,g,u,1.5,21.25,b,1
0,300.0,s,t,0,f,f,10.0,ff,cc,gg,l,0.375,18.08,a,1
44,300.0,g,f,0,f,f,0.375,v,cc,g,u,0.375,33.67,a,1
2732,380.0,g,f,11,t,t,0.25,v,k,p,y,0.205,48.58,b,1
0,120.0,g,f,0,f,f,1.165,v,w,g,u,1.25,33.67,b,0
13,280.0,g,f,0,f,f,1.0,v,x,p,y,1.085,29.5,a,0
179,170.0,g,f,0,f,f,0.04,v,c,p,y,1.085,30.17,b,0
0,1160.0,s,f,0,f,f,0.5,bb,i,g,u,3.5,40.83,,0
0,200.0,s,f,0,f,f,3.0,v,w,p,y,2.5,34.83,b,0
0,411.0,g,t,0,f,f,0.085,v,i,p,y,4.0,,b,0
0,,p,f,0,f,f,0.0,,,,,0.0,20.42,b,0
2,0.0,g,t,0,,,,v,c,p,y,,33.25,a,0
16,460.0,g,f,0,f,f,1.0,v,c,g,u,2.5,34.08,b,0
1062,180.0,g,t,0,f,f,1.0,v,d,g,u,12.5,25.25,a,0
0,348.0,g,f,0,f,f,0.5,bb,cc,g,u,2.5,34.75,b,0
251,220.0,g,t,0,f,f,0.165,h,q,g,u,0.75,27.67,b,0
228,0.0,g,t,0,f,f,1.0,v,c,g,u,6.5,47.33,b,0
0,160.0,g,t,0,f,f,0.5,h,i,p,y,1.25,34.83,a,0
0,180.0,g,f,0,f,f,2.0,v,aa,p,y,3.0,33.25,a,0
67,300.0,g,t,0,f,f,0.75,v,w,g,u,3.0,28.0,b,0
0,480.0,g,f,0,f,f,3.0,v,c,g,u,4.0,39.08,a,0
100,108.0,g,f,0,f,f,0.04,v,aa,g,u,4.085,42.75,b,0
4000,640.0,g,t,0,f,f,0.5,bb,i,g,u,2.25,26.92,b,0
0,180.0,g,f,0,f,f,0.0,bb,i,g,u,2.75,33.75,b,0
2,300.0,g,t,0,f,f,0.5,v,k,g,u,1.75,38.92,b,0
12,0.0,g,f,0,f,f,0.0,z,e,g,u,7.0,62.75,b,0
122,372.0,g,t,0,f,f,0.25,v,c,g,u,1.5,32.25,,0
1210,200.0,g,f,0,f,f,2.5,bb,c,p,y,4.5,26.75,b,0
0,180.0,g,t,3,t,t,0.585,v,c,g,u,0.54,63.33,b,0
3,100.0,g,t,1,t,f,2.25,v,w,g,u,1.5,27.83,b,0
1,276.0,g,t,0,f,f,0.0,j,j,g,u,2.0,26.17,a,0
0,100.0,g,f,0,f,f,0.0,ff,ff,p,y,0.585,22.17,b,0
